Trans Date,Trans Type/#,Category,Vendor/Description,Function,GL Account,Debit,Credit,Date Cleared
 07/11/16,Check 408620174,GRANTS 865-872GRA,Maria Gentry Reimbursement for TARC Rocketry membership fees Inv# 062516,23-School Leadership/Admin,6499-Misc. Operating Expenses,$62.00 ,$0.00 , 08/31/16
 07/11/16,Check 408620173,GRANTS 865-872GRA,Robert Lazano Reimbursement for TARC Rocketry membership fees Inv# 062516,23-School Leadership/Admin,6499-Misc. Operating Expenses,$62.00 ,$0.00 , 07/31/16
 08/23/16,Check 408620182,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,"Sam's Club Purchase of pickles for Red, White and Blue event Inv# 082316",36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$21.48 ,$0.00 , 08/31/16
 09/09/16,Check 408620186,GRANTS 865-872GRA,"Enterprise Rent A Car Co Rental for Christina Moreno to attend NASA Rocketry training in Huntsville, AL Inv# 90080919367",23-School Leadership/Admin,6411-Employee Travel,$261.36 ,$0.00 , 09/30/16
 09/15/16,Check 408620188,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,El Paraiso Original Paleta fundraiser for Rocketry Club Inv# 9152016,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$500.00 ,$0.00 , 09/30/16
 10/21/16,Check 408620204,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Aerospace Industires Association TARC Registration for ETA Team #1 Inv# 102116,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$125.00 ,$0.00 , 11/30/16
 10/27/16,Check 408620209,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,El Paraiso Original Paleta fundraiser for Rocketry Club Inv# 102716,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$525.00 ,$0.00 , 11/30/16
 11/03/16,Check 408620212,GRANTS 865-872GRA,Melissa Davis Reimbursement for Rocketry supplies Inv# 110316,36-Extracurricular/After School Activities,6399-General Supplies,$139.53 ,$0.00 , 11/30/16
 11/09/16,Check 408620213,GRANTS 865-872GRA,Christina Moreno Reimbursement for Rocketry SLI supplies Inv# 110716,36-Extracurricular/After School Activities,6399-General Supplies,$419.78 ,$0.00 , 11/30/16
 11/09/16,Check 408620214,GRANTS 865-872GRA,Maria Gentry Reimbursement for Rocketry SLI supplies Inv# 110816,36-Extracurricular/After School Activities,6399-General Supplies,$9.99 ,$0.00 , 12/31/16
 11/16/16,Check 408620222,GRANTS 865-872GRA,Christina Moreno Reimbursement for Rocketry supplies,36-Extracurricular/After School Activities,6399-General Supplies,$254.00 ,$0.00 , 11/30/16
