Transaction Date,Transaction Type,Transaction Number,School,Category Name,Category Number,Category Umbrella Name,Memo,Supplier,Transaction Description,GL Department,GL Name,GL Number,Debit,Credit,Clear,Clear Date,Total
9/26/2019,Check,408620619,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Aerospace Industires Association,Registration for Team 20-5925 Inv# 0000,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,125,0,1,10/31/2019,125
10/4/2019,Deposit,102,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,,Club Dues,Revenue,Dues,5749D,0,45,1,10/31/2019,525
10/18/2019,Deposit,103,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,,Dues,Revenue,Dues,5749D,0,25,1,10/31/2019,1257.76
11/14/2019,Check,408620627,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Aerospace Industires Association,Registration for Team 20-6713 Inv# 000,11-Instruction,6499-Misc. Operating Expenses,6499,125,0,1,12/31/2019,125
11/15/2019,Check,408620628,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Balsa Machining Service,Supplies for Rocketry Inv# 193091,11-Instruction,6399-General Supplies,6399,19.8,0,1,11/30/2019,19.8
11/22/2019,Check,408620633,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,"David W Abmayr, Jr.",Reimbursement of Hotel Cost Inv# ,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,108.74,0,1,12/31/2019,108.74
12/3/2019,Check,408620634,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Apogee Components,"Invoice's 030837, 030561, 030639 Inv# XXX",11-Instruction,6399-General Supplies,6399,694.63,0,1,12/31/2019,694.63
12/10/2019,Check,408620637,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Apogee Components,Rocketry Parts Inv# 031411,11-Instruction,6399-General Supplies,6399,81.24,0,1,12/31/2019,81.24
12/10/2019,Check,408620638,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Apogee Components,Rocketry Parts Inv# 032006,11-Instruction,6399-General Supplies,6399,27.09,0,1,12/31/2019,27.09
12/12/2019,DebitMemo,Nov REIMB,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,,RFP 65570,11-Instruction,6399-General Supplies,6399,24.97,0,1,12/31/2019,24.97
12/18/2019,Check,408620645,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Apogee Components,Parts for Rocketry Inv# 032450,11-Instruction,6399-General Supplies,6399,77.68,0,1,1/31/2020,77.68
1/15/2020,CreditMemo,GEN011520,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,,Trf from General Fund,Transfers,Transfers In (Admin use only),7915,0,5660,1,1/31/2020,0
1/15/2020,CreditMemo,GEN011520,408-ETA @ Roosevelt,GRANTS,865-872GRA,Grants/Trusts,,,Add'l trf from General Fund,Transfers,Transfers In (Admin use only),7915,0,6576,1,1/31/2020,0
1/21/2020,DebitMemo,Dec REIMB,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,,RFP 65914,11-Instruction,6399-General Supplies,6399,28.49,0,1,1/31/2020,28.49
1/24/2020,Check,408620652,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,Apogee Components,Rocketry Parts Inv# 033618,11-Instruction,6399-General Supplies,6399,13.8,0,1,1/31/2020,13.8
1/24/2020,Deposit,111,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,,ETAA Donation,Revenue,Donations/Gifts,5744,0,1000,1,1/31/2020,3211.97
1/24/2020,Deposit,111,408-ETA @ Roosevelt,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM,865-521ENG,CATE,,,Repayment ,Revenue,Refunds,5749R,0,85.73,1,1/31/2020,3211.97
