Transaction Date,Transaction Type,Transaction Number,School,Category Name,Category Number,Category Umbrella Name,Memo,Supplier,Transaction Description,GL Department,GL Name,GL Number,Debit,Credit,Clear,Clear Date,Total
9/5/2018,Deposit,25,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donation,Revenue,Donations/Gifts,5744,0,127.5,1,9/30/2018,146.4
9/5/2018,Deposit,25,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Rebate,Revenue,Rebates,5749RB,0,18.9,1,9/30/2018,146.4
9/7/2018,Deposit,27,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Unused Funds,Revenue,Re-deposit Unused Funds,5749RU,0,1312,1,9/30/2018,1412
9/7/2018,Deposit,27,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Comp Registration Fees,Revenue,Fees,5749F,0,100,1,9/30/2018,1412
10/9/2018,Check,408620546,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Pizza Hut 12,TSA Meeting Inv# ,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,41.93,0,1,10/31/2018,41.93
10/17/2018,Deposit,34,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Copies,Revenue,"Copies, Printing, Laminating Fees",5749CPL,0,69.28,1,10/31/2018,69.28
11/8/2018,Check,408620552,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Texas Technology Student Association,TSA Texas Fall Leadership Conference Inv# 0000,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,1150,0,1,1/31/2019,1150
11/13/2018,DebitMemo,Oct REIMB,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,RFP 56279,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,120.66,0,1,11/30/2018,376331.2
11/28/2018,Check,408620560,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Fuddruckers,18 Combo Meals for TSA Group Inv# 0000,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,198.72,0,1,12/31/2018,198.72
11/28/2018,Check,408620561,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Texas Technology Student Association,Conference Registration for 8 Inv# 1111 - CHECK MADE OUT FOR WRONG AMOUNT. WILL REISSUE - Tax $0.00 - Void - 11/29/2018,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,880,0,1,8/31/2018,880
11/29/2018,Check,408620561,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Texas Technology Student Association,Void -  Conference Registration for 8 Inv# 1111 - CHECK MADE OUT FOR WRONG AMOUNT. WILL REISSUE - Tax $0.00,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,-880,0,1,8/31/2018,-880
11/29/2018,Check,408620562,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Texas Technology Student Association,Conference Registration for 6 Inv# ,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,660,0,1,12/31/2018,660
1/11/2019,Deposit,48,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donations,Revenue,Donations/Gifts,5744,0,235,1,1/31/2019,235
1/11/2019,Deposit,49,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Commissions,Revenue,Commissions,5749C,0,124.33,1,1/31/2019,124.33
1/17/2019,DebitMemo,Dec REIMB,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,RFP 58106,11-Instruction,6399-General Supplies,6399,43.98,0,1,1/31/2019,376331.2
1/25/2019,Deposit,51,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donation,Revenue,Donations/Gifts,5744,0,200,1,1/31/2019,200
1/25/2019,Deposit,53,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donation,Revenue,Donations/Gifts,5744,0,70,1,1/31/2019,70
2/6/2019,Check,408620579,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,American Cancer Society,Relay for Life Team Inv#  - CHECK LOST WILL REISSUE - Tax $0.00 - Void - 5/23/2019,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,202.37,0,1,10/31/2018,2000
2/22/2019,Deposit,63,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donation,Revenue,Donations/Gifts,5744,0,18.5,1,2/28/2019,18.5
2/28/2019,Check,408620579,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,American Cancer Society,Void -  Relay for Life Team Inv#  - CHECK LOST WILL REISSUE - Tax $0.00,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,6499,-202.37,0,1,10/31/2018,-2000
3/22/2019,Deposit,66,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Revenue,Revenue,Fees,5749F,0,34,1,3/31/2019,238
3/22/2019,Deposit,66,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Revenue,Revenue,Donations/Gifts,5744,0,4,1,3/31/2019,238
4/18/2019,Deposit,69,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donation Parent held fundraiser at Witti,Revenue,Donations/Gifts,5744,0,4863.95,1,4/30/2019,5493.95
4/18/2019,Deposit,69,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donations Chili's Night,Revenue,Donations/Gifts,5744,0,630,1,4/30/2019,5493.95
5/7/2019,Deposit,75,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,TSA Comp Fees,Revenue,Fees,5749F,0,2707,1,5/31/2019,2707
5/7/2019,Deposit,76,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Chili's Check,Revenue,Donations/Gifts,5744,0,570,1,5/31/2019,570
