Transaction Date,Transaction Type,Transaction Number,School,Category Name,Category Number,Category Umbrella Name,Memo,Supplier,Transaction Description,GL Department,GL Name,GL Number,Debit,Credit,Clear,Clear Date,Total
8/9/2019,Deposit,95,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Chili's Fundraiser,Revenue,Donations/Gifts,5744,0,603.11,1,8/31/2019,603.11
8/27/2019,DebitMemo,Jul REIMB,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,RFP 63466,36-Extracurricular/After School Activities,6399-General Supplies,6399,1272.81,0,1,8/31/2019,1272.81
8/27/2019,DebitMemo,Jul REIMB,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,RFP 63468,36-Extracurricular/After School Activities,6399-General Supplies,6399,111.1,0,1,8/31/2019,111.1
9/4/2019,Check,408620616,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Reece Supply Company of San Antonio,Materials for TSA Inv# S4065083.001,11-Instruction,6399-General Supplies,6399,196.33,0,1,9/30/2019,196.33
9/19/2019,DebitMemo,Aug REIMB,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,RFP 63944,36-Extracurricular/After School Activities,6399-General Supplies,6399,46.73,0,1,9/30/2019,46.73
9/19/2019,DebitMemo,Aug REIMB,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,RFP 63945,11-Instruction,6399-General Supplies,6399,1329.99,0,1,9/30/2019,1329.99
9/20/2019,Deposit,100,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Chili's Night,Revenue,Donations/Gifts,5744,0,50,1,9/30/2019,400
9/24/2019,Check,408620618,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,Lodde Business Systems,Vinyl Inv# 63711,11-Instruction,6399-General Supplies,6399,155,0,1,10/31/2019,155
9/25/2019,Check,408620594,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Void - Alamo Technology Educator Association Region 20 TSA Entries Inv# 2019-05 - TECHNOLOGY STUDENT ASSOCIATION - LETTER MAILED 9/12/2019 NO RESPONSE - Tax $0.00,11-Instruction,6399-General Supplies,6399,-440,0,1,9/30/2019,-440
9/27/2019,Deposit,101,408-ETA @ Roosevelt,TECHNOLOGY STUDENT ASSOCIATION,865-673TEC,Student Clubs,,,Donations,Revenue,Donations/Gifts,5744,0,80,1,10/31/2019,515
